Player,From,To,Pos,Ht,Wt,DOB,College
Meyers Leonard,2013,2016,C,7-1,245,February 27  1992,University of Illinois at Urbana-Champaign
Jon Leuer,2012,2016,F,6-10,228,May 14  1989,University of Wisconsin
DeAndre Liggins,2012,2014,G,6-6,209,March 31  1988,University of Kentucky
Damian Lillard,2013,2016,G,6-3,195,July 15  1990,Weber State University
Jeremy Lin,2011,2016,G,6-3,200,August 23  1988,Harvard University
Shaun Livingston,2005,2016,G,6-7,182,September 11  1985,
Kevon Looney,2016,2016,F,6-9,220,February 6  1996,University of California  Los Angeles
Brook Lopez,2009,2016,C,7-0,275,April 1  1988,Stanford University
Robin Lopez,2009,2016,C,7-0,255,April 1  1988,Stanford University
Kevin Love,2009,2016,F,6-10,251,September 7  1988,University of California  Los Angeles
Kyle Lowry,2007,2016,G,6-0,205,March 25  1986,Villanova University
Kalin Lucas,2015,2015,G,6-1,195,May 24  1989,Michigan State University
John Lucas III,2006,2015,G,5-11,165,November 21  1982,Oklahoma State University
Trey Lyles,2016,2016,F,6-10,234,November 5  1995,University of Kentucky
Scott Machado,2013,2013,G,6-1,205,June 8  1990,Iona College
Shelvin Mack,2012,2016,G,6-3,203,April 22  1990,Butler University
Vernon Macklin,2012,2012,F,6-10,227,September 20  1986,University of Florida
Ian Mahinmi,2008,2016,C,6-11,250,November 5  1986,
Devyn Marble,2015,2016,G-F,6-6,200,September 21  1992,University of Iowa
Boban Marjanovic,2016,2016,C,7-3,290,August 15  1988,
Kendall Marshall,2013,2016,G,6-4,200,August 19  1991,University of North Carolina
Cartier Martin,2009,2015,F,6-7,220,November 20  1984,Kansas State University
Jarell Martin,2016,2016,F,6-10,239,May 24  1994,Louisiana State University
Kevin Martin,2005,2016,G,6-7,199,February 1  1983,Western Carolina University
Wesley Matthews,2010,2016,G,6-5,220,October 14  1986,Marquette University
Jason Maxiell,2006,2015,F,6-7,260,February 18  1983,University of Cincinnati
Eric Maynor,2010,2014,G,6-3,175,June 11  1987,Virginia Commonwealth University
O.J. Mayo,2009,2016,G,6-5,210,November 5  1987,University of Southern California
Luc Mbah a Moute,2009,2016,F,6-8,230,September 9  1986,University of California  Los Angeles
James Michael McAdoo,2015,2016,F,6-9,230,January 4  1993,University of North Carolina
Ray McCallum,2014,2016,G,6-3,190,June 12  1991,University of Detroit Mercy
C.J. McCollum,2014,2016,G,6-4,200,September 19  1991,Lehigh University
T.J. McConnell,2016,2016,G,6-2,200,March 25  1992,University of Arizona
Chris McCullough,2016,2016,F,6-11,200,February 5  1995,Syracuse University
K.J. McDaniels,2015,2016,G-F,6-6,205,February 9  1993,Clemson University
Doug McDermott,2015,2016,F,6-8,225,January 3  1992,Creighton University
Mitch McGary,2015,2016,F,6-10,255,June 6  1992,University of Michigan
JaVale McGee,2009,2016,C,7-0,270,January 19  1988,University of Nevada  Reno
Dominic McGuire,2008,2013,F,6-9,220,October 20  1985,California State University  Fresno
Ben McLemore,2014,2016,G,6-5,195,February 11  1993,University of Kansas
Jerel McNeal,2015,2015,G,6-3,200,June 1  1987,Marquette University
Jordan McRae,2016,2016,G,6-6,185,March 28  1991,University of Tennessee
Josh McRoberts,2008,2016,F,6-10,240,February 28  1987,Duke University
Jodie Meeks,2010,2016,G,6-4,208,August 21  1987,University of Kentucky
Salah Mejri,2016,2016,C,7-1,245,June 15  1986,
Gal Mekel,2014,2015,G,6-3,191,March 4  1988,Wichita State University
Fab Melo,2013,2013,C,7-0,255,June 20  1990,Syracuse University
Pops Mensah-Bonsu,2007,2011,F,6-9,240,September 7  1983,George Washington University
Jordan Mickey,2016,2016,F,6-8,235,July 9  1994,Louisiana State University
Khris Middleton,2013,2016,F-G,6-8,234,August 12  1991,Texas A&M University
C.J. Miles,2006,2016,G-F,6-6,231,April 18  1987,
Andre Miller,2000,2016,G,6-3,200,March 19  1976,University of Utah
Darius Miller,2013,2015,F,6-8,235,March 21  1990,University of Kentucky
Mike Miller,2001,2016,F-G,6-8,218,February 19  1980,University of Florida
Quincy Miller,2013,2015,F,6-9,210,November 18  1992,Baylor University
Patrick Mills,2010,2016,G,6-0,185,August 11  1988,Saint Mary's College of California
Elijah Millsap,2015,2016,G-F,6-6,225,August 12  1987,University of Alabama at Birmingham
Paul Millsap,2007,2016,F,6-8,246,February 10  1985,Louisiana Tech University
Nikola Mirotic,2015,2016,F,6-10,220,February 11  1991,
Tony Mitchell,2014,2014,F,6-6,216,August 7  1989,University of Alabama
Tony Mitchell,2014,2014,F,6-8,235,April 7  1992,University of North Texas
Nazr Mohammed,1999,2015,C,6-10,221,September 5  1977,University of Kentucky
Greg Monroe,2011,2016,C-F,6-11,265,June 4  1990,Georgetown University
Luis Montero,2016,2016,G,6-7,185,April 6  1993,Westchester CC
E'Twaun Moore,2012,2016,G,6-4,191,February 28  1989,Purdue University
Eric Moreland,2015,2016,F-C,6-10,238,December 24  1991,Oregon State University
Darius Morris,2012,2015,G,6-4,190,January 3  1991,University of Michigan
Marcus Morris,2012,2016,F,6-9,235,September 2  1989,University of Kansas
Markieff Morris,2012,2016,F,6-10,245,September 2  1989,University of Kansas
Anthony Morrow,2009,2016,G,6-5,210,September 27  1985,Georgia Institute of Technology
Donatas Motiejunas,2013,2016,F-C,7-0,222,September 20  1990,
Arnett Moultrie,2013,2014,F,6-11,249,November 18  1990,Mississippi State University
Timofey Mozgov,2011,2016,C,7-1,275,July 16  1986,
Emmanuel Mudiay,2016,2016,G,6-5,200,March 5  1996,
Shabazz Muhammad,2014,2016,G-F,6-6,223,November 13  1992,University of California  Los Angeles
Byron Mullens,2010,2014,C,7-0,275,February 14  1989,Ohio State University
Erik Murphy,2014,2014,F,6-10,230,October 26  1990,University of Florida
Kevin Murphy,2013,2013,G,6-6,185,March 6  1990,Tennessee Technological University
Toure' Murry,2014,2015,G-F,6-5,195,November 8  1989,Wichita State University
Mike Muscala,2014,2016,F-C,6-11,240,July 1  1991,Bucknell University
Hamady N'Diaye,2011,2014,C,7-0,235,January 12  1987,Rutgers University
Larry Nance Jr.,2016,2016,F,6-9,230,January 1  1993,University of Wyoming
Shabazz Napier,2015,2016,G,6-1,175,July 14  1991,University of Connecticut
Gary Neal,2011,2016,G,6-4,210,October 3  1984,Towson University
Nemanja Nedovic,2014,2014,G,6-3,192,June 16  1991,
Jameer Nelson,2005,2016,G,6-0,190,February 9  1982,Saint Joseph's University
Raul Neto,2016,2016,G,6-1,179,May 19  1992,
Andrew Nicholson,2013,2016,F,6-9,250,December 8  1989,St. Bonaventure University
Joakim Noah,2008,2016,C,6-11,232,February 25  1985,University of Florida
Nerlens Noel,2015,2016,F-C,6-11,228,April 10  1994,University of Kentucky
Lucas Nogueira,2015,2016,C,7-0,220,July 26  1992,
Steve Novak,2007,2016,F,6-10,225,June 13  1983,Marquette University
Dirk Nowitzki,1999,2016,F,7-0,245,June 19  1978,
James Nunnally,2014,2014,F,6-7,205,July 14  1990,University of California  Santa Barbara
Jusuf Nurkic,2015,2016,C,7-0,280,August 23  1994,
J.J. O'Brien,2016,2016,F,6-7,228,April 8  1992,San Diego State University
Johnny O'Bryant,2015,2016,F-C,6-9,257,June 1  1993,Louisiana State University
Patrick O'Bryant,2007,2010,C,7-0,260,June 20  1986,Bradley University
Jermaine O'Neal,1997,2014,F-C,6-11,226,October 13  1978,
Kyle O'Quinn,2013,2016,C,6-10,250,March 26  1990,Norfolk State University
Greg Oden,2009,2014,C,7-0,250,January 22  1988,Ohio State University
Tim Ohlbrecht,2013,2013,C,6-11,255,August 30  1988,
Jahlil Okafor,2016,2016,C,6-11,275,December 15  1995,Duke University
Victor Oladipo,2014,2016,G,6-4,210,May 4  1992,Indiana University
Kelly Olynyk,2014,2016,F,7-0,238,April 19  1991,Gonzaga University
Arinze Onuaku,2014,2015,F,6-9,275,July 13  1987,Syracuse University
Daniel Orton,2012,2014,F,6-10,255,August 6  1990,University of Kentucky
Kelly Oubre,2016,2016,F,6-7,205,December 9  1995,University of Kansas
Travis Outlaw,2004,2014,F,6-9,210,September 18  1984,
Zaza Pachulia,2004,2016,C,6-11,270,February 10  1984,
Kostas Papanikolaou,2015,2016,F,6-8,225,July 31  1990,
Jannero Pargo,2003,2015,G,6-1,175,October 22  1979,University of Arkansas
Jabari Parker,2015,2016,F,6-8,250,March 15  1995,Duke University
Tony Parker,2002,2016,G,6-2,185,May 17  1982,
Chandler Parsons,2012,2016,F,6-9,227,October 25  1988,University of Florida
Lamar Patterson,2016,2016,G-F,6-5,225,August 12  1991,University of Pittsburgh
Patrick Patterson,2011,2016,F,6-9,235,March 14  1989,University of Kentucky
Chris Paul,2006,2016,G,6-0,175,May 6  1985,Wake Forest University
Sasha Pavlovic,2004,2013,G-F,6-8,220,November 15  1983,
Adreian Payne,2015,2016,F,6-10,237,February 19  1991,Michigan State University
Cameron Payne,2016,2016,G,6-3,185,August 8  1994,Murray State University
Elfrid Payton,2015,2016,G,6-4,185,February 22  1994,University of Louisiana at Lafayette
Oleksiy Pecherov,2008,2010,C,7-0,232,December 8  1985,
Nikola Pekovic,2011,2016,C,6-11,307,January 3  1986,
Kendrick Perkins,2004,2016,C,6-10,270,November 10  1984,
Johan Petro,2006,2013,C,7-0,247,January 27  1986,
Paul Pierce,1999,2016,F-G,6-7,235,October 13  1977,University of Kansas
Mickael Pietrus,2004,2013,G-F,6-6,215,February 7  1982,
Dexter Pittman,2011,2014,C,6-11,308,March 2  1988,University of Texas at Austin
Tibor Pleiss,2016,2016,C,7-3,256,November 2  1989,
Mason Plumlee,2014,2016,F,6-11,245,March 5  1990,Duke University
Miles Plumlee,2013,2016,C-F,6-11,249,September 1  1988,Duke University
Quincy Pondexter,2011,2015,G-F,6-7,220,March 10  1988,University of Washington
Otto Porter,2014,2016,F,6-8,198,June 3  1993,Georgetown University
Bobby Portis,2016,2016,F,6-11,230,February 10  1995,University of Arkansas
Kristaps Porzingis,2016,2016,F-C,7-3,240,August 2  1995,
Dwight Powell,2015,2016,F,6-11,240,July 20  1991,Stanford University
Josh Powell,2006,2014,F,6-9,225,January 25  1983,North Carolina State University
Norman Powell,2016,2016,G,6-4,215,May 25  1993,University of California  Los Angeles
Phil Pressey,2014,2016,G,5-11,175,February 17  1991,University of Missouri
A.J. Price,2010,2015,G,6-2,181,October 7  1986,University of Connecticut
Ronnie Price,2006,2016,G,6-2,190,June 21  1983,Utah Valley State College
Pablo Prigioni,2013,2016,G,6-3,185,May 17  1977,
Tayshaun Prince,2003,2016,F,6-9,212,February 28  1980,University of Kentucky
Miroslav Raduljica,2014,2015,C,7-0,250,January 5  1988,
Julius Randle,2015,2016,F,6-9,250,November 29  1994,University of Kentucky
Anthony Randolph,2009,2014,F,6-10,205,July 15  1989,Louisiana State University
Shavlik Randolph,2006,2015,F,6-10,240,November 24  1983,Duke University
Zach Randolph,2002,2016,F,6-9,260,July 16  1981,Michigan State University
J.J. Redick,2007,2016,G,6-4,190,June 24  1984,Duke University
Willie Reed,2016,2016,PF,6-10,220,May 16  1990,Saint Louis University
Glen Rice,2014,2015,G,6-6,206,January 1  1991,Georgia Institute of Technology
Josh Richardson,2016,2016,G,6-6,200,September 15  1993,University of Tennessee
Luke Ridnour,2004,2015,G,6-2,175,February 13  1981,University of Oregon
Austin Rivers,2013,2016,G,6-4,200,August 1  1992,Duke University
Andre Roberson,2014,2016,G-F,6-7,210,December 4  1991,University of Colorado
Brian Roberts,2013,2016,G,6-1,173,December 3  1985,University of Dayton
Nate Robinson,2006,2016,G,5-9,180,May 31  1984,University of Washington
Thomas Robinson,2013,2016,F,6-10,237,March 17  1991,University of Kansas
Glenn Robinson III,2015,2016,G-F,6-7,222,January 8  1994,University of Michigan
Rajon Rondo,2007,2016,G,6-1,186,February 22  1986,University of Kentucky
Derrick Rose,2009,2016,G,6-3,190,October 4  1988,University of Memphis
Terrence Ross,2013,2016,F-G,6-7,195,February 5  1991,University of Washington
Terry Rozier,2016,2016,G,6-2,190,March 17  1994,University of Louisville
Ricky Rubio,2012,2016,G,6-4,194,October 21  1990,
Damjan Rudez,2015,2016,F,6-10,228,June 17  1986,
Brandon Rush,2009,2016,G-F,6-6,210,July 7  1985,University of Kansas
D'Angelo Russell,2016,2016,G,6-5,195,February 23  1996,Ohio State University
Robert Sacre,2013,2016,C,7-0,270,June 6  1989,Gonzaga University
John Salmons,2003,2015,G,6-7,210,December 12  1979,University of Miami
JaKarr Sampson,2015,2016,G-F,6-9,214,March 20  1993,St. John's University
Dennis Schroder,2014,2016,G,6-1,172,September 15  1993,
Luis Scola,2008,2016,F,6-9,240,April 30  1980,
Mike Scott,2013,2016,F,6-8,237,July 16  1988,University of Virginia
Thabo Sefolosha,2007,2016,G-F,6-7,220,May 2  1984,
Kevin Seraphin,2011,2016,F,6-10,278,December 7  1989,
Ramon Sessions,2008,2016,G,6-3,190,April 11  1986,University of Nevada  Reno
Mustafa Shakur,2011,2014,G,6-3,190,August 18  1984,University of Arizona
Tornike Shengelia,2013,2014,F,6-9,217,October 5  1991,
Iman Shumpert,2012,2016,G,6-5,220,June 26  1990,Georgia Institute of Technology
Alexey Shved,2013,2015,G,6-6,190,December 16  1988,
Xavier Silas,2012,2012,G,6-5,205,January 22  1988,Northern Illinois University
Jonathon Simmons,2016,2016,G-F,6-6,195,September 14  1989,University of Houston
Henry Sims,2013,2015,C,6-10,248,March 27  1990,Georgetown University
Kyle Singler,2013,2016,F,6-8,228,May 4  1988,Duke University
Chris Singleton,2012,2014,F,6-8,230,November 21  1989,Florida State University
Peyton Siva,2014,2014,G,6-0,185,October 24  1990,University of Louisville
Donald Sloan,2012,2016,G,6-3,205,January 15  1988,Texas A&M University
Marcus Smart,2015,2016,G,6-4,220,March 6  1994,Oklahoma State University
Chris Smith,2014,2014,G,6-2,200,October 13  1987,University of Louisville
Greg Smith,2012,2015,C,6-10,250,January 8  1991,California State University  Fresno
Ish Smith,2011,2016,G,6-0,175,July 5  1988,Wake Forest University
J.R. Smith,2005,2016,G-F,6-6,225,September 9  1985,
Jason Smith,2008,2016,F-C,7-0,245,March 2  1986,Colorado State University
Josh Smith,2005,2016,F,6-9,225,December 5  1985,
Nolan Smith,2012,2013,G,6-2,185,July 25  1988,Duke University
Russ Smith,2015,2016,G,6-0,165,April 19  1991,University of Louisville
Tony Snell,2014,2016,G-F,6-7,200,November 10  1991,University of New Mexico
James Southerland,2014,2014,F,6-8,215,April 28  1990,Syracuse University
Marreese Speights,2009,2016,C-F,6-10,255,August 4  1987,University of Florida
Tiago Splitter,2011,2016,F-C,6-11,245,January 1  1985,
Nik Stauskas,2015,2016,G,6-6,205,October 7  1993,University of Michigan
D.J. Stephens,2014,2014,G-F,6-5,190,December 19  1990,University of Memphis
Lance Stephenson,2011,2016,G-F,6-5,230,September 5  1990,University of Cincinnati
Greg Stiemsma,2012,2015,C,6-11,260,September 26  1985,University of Wisconsin
David Stockton,2015,2015,G,5-11,165,June 24  1991,Gonzaga University
Jarnell Stokes,2015,2016,F-C,6-9,263,January 7  1994,University of Tennessee
Julyan Stone,2012,2014,G,6-6,200,December 7  1988,University of Texas at El Paso
Amar'e Stoudemire,2003,2016,F-C,6-10,245,November 16  1982,
Rodney Stuckey,2008,2016,G,6-5,205,April 21  1986,Eastern Washington University
Jared Sullinger,2013,2016,F,6-9,260,March 4  1992,Ohio State University
DaJuan Summers,2010,2013,F,6-8,230,January 24  1988,Georgetown University
Walter Tavares,2016,2016,C,7-3,260,March 22  1992,
Jeffery Taylor,2013,2015,F,6-7,225,May 23  1989,Vanderbilt University
Jermaine Taylor,2010,2011,G,6-4,210,December 8  1986,University of Central Florida
Tyshawn Taylor,2013,2014,G,6-3,185,April 12  1990,University of Kansas
Jeff Teague,2010,2016,G,6-2,186,June 10  1988,Wake Forest University
Marquis Teague,2013,2014,G,6-2,189,February 28  1993,University of Kentucky
Mirza Teletovic,2013,2016,F,6-9,242,September 18  1985,
Sebastian Telfair,2005,2015,G,6-0,165,June 9  1985,
Garrett Temple,2010,2016,G,6-6,195,May 8  1986,Louisiana State University
Jason Terry,2000,2016,G,6-2,185,September 15  1977,University of Arizona
Hasheem Thabeet,2010,2014,C,7-3,263,February 16  1987,University of Connecticut
Adonis Thomas,2014,2014,F,6-7,200,March 25  1993,University of Memphis
Isaiah Thomas,2012,2016,G,5-9,185,February 7  1989,University of Washington
Lance Thomas,2012,2016,F,6-8,235,April 24  1988,Duke University
Malcolm Thomas,2012,2015,F,6-9,225,November 8  1988,San Diego State University
Tyrus Thomas,2007,2015,F,6-9,215,August 17  1986,Louisiana State University
Hollis Thompson,2014,2016,G-F,6-8,206,April 3  1991,Georgetown University
Jason Thompson,2009,2016,F-C,6-11,250,July 21  1986,Rider University
Klay Thompson,2012,2016,G,6-7,205,February 8  1990,Washington State University
Tristan Thompson,2012,2016,F-C,6-9,238,March 13  1991,University of Texas at Austin
Marcus Thornton,2010,2016,G,6-4,205,June 5  1987,Louisiana State University
Jamaal Tinsley,2002,2014,G,6-3,195,February 28  1978,Iowa State University
Anthony Tolliver,2009,2016,F-C,6-8,240,June 1  1985,Creighton University
Karl-Anthony Towns,2016,2016,F-C,7-0,244,November 15  1995,University of Kentucky
Nikoloz Tskitishvili,2003,2006,F,7-0,225,April 14  1983,
P.J. Tucker,2007,2016,F,6-6,245,May 5  1985,University of Texas at Austin
Ronny Turiaf,2006,2015,F,6-10,249,January 13  1983,Gonzaga University
Evan Turner,2011,2016,G,6-7,220,October 27  1988,Ohio State University
Myles Turner,2016,2016,F-C,6-11,243,March 24  1996,University of Texas at Austin
Jeremy Tyler,2012,2014,C,6-10,260,June 21  1991,
Ekpe Udoh,2011,2015,F,6-10,240,May 20  1987,Baylor University
Beno Udrih,2005,2016,G,6-3,205,July 5  1982,
Jonas Valanciunas,2013,2016,C,7-0,255,May 6  1992,
Anderson Varejao,2005,2016,F-C,6-10,273,September 28  1982,
Jarvis Varnado,2013,2014,F,6-9,230,March 1  1988,Mississippi State University
Greivis Vasquez,2011,2016,G,6-6,217,January 16  1987,University of Maryland
Rashad Vaughn,2016,2016,G,6-6,202,August 16  1996,University of Nevada  Las Vegas
Jan Vesely,2012,2014,F,6-11,240,April 24  1990,
Charlie Villanueva,2006,2016,F,6-11,232,August 24  1984,University of Connecticut
Noah Vonleh,2015,2016,F,6-10,240,August 24  1995,Indiana University
Nikola Vucevic,2012,2016,C,7-0,260,October 24  1990,University of Southern California
Sasha Vujacic,2005,2016,G,6-7,195,March 8  1984,
Dwyane Wade,2004,2016,G,6-4,220,January 17  1982,Marquette University
Dion Waiters,2013,2016,G,6-4,225,December 10  1991,Syracuse University
Henry Walker,2009,2015,F,6-6,220,October 9  1987,Kansas State University
Kemba Walker,2012,2016,G,6-1,172,May 8  1990,University of Connecticut
John Wall,2011,2016,G,6-4,195,September 6  1990,University of Kentucky
Gerald Wallace,2002,2015,F,6-7,215,July 23  1982,University of Alabama
Casper Ware,2014,2014,G,5-10,175,January 17  1990,California State University  Long Beach
T.J. Warren,2015,2016,F,6-8,230,September 5  1993,North Carolina State University
C.J. Watson,2008,2016,G,6-2,175,April 17  1984,University of Tennessee
Maalik Wayns,2013,2014,G,6-2,200,May 2  1991,Villanova University
David Wear,2015,2015,F,6-10,230,September 21  1990,University of California  Los Angeles
Travis Wear,2015,2015,F,6-10,230,September 21  1990,University of California  Los Angeles
Martell Webster,2006,2015,G-F,6-7,230,December 4  1986,
Sonny Weems,2009,2016,G-F,6-6,205,July 8  1986,University of Arkansas
David West,2004,2016,F,6-9,250,August 29  1980,Xavier University
Russell Westbrook,2009,2016,G,6-3,200,November 12  1988,University of California  Los Angeles
D.J. White,2009,2014,F,6-9,251,August 31  1986,Indiana University
Royce White,2014,2014,F,6-8,270,April 10  1991,Iowa State University
Hassan Whiteside,2011,2016,C,7-0,265,June 13  1989,Marshall University
Shayne Whittington,2015,2016,F-C,6-11,250,March 27  1991,Western Michigan University
Andrew Wiggins,2015,2016,F-G,6-8,199,February 23  1995,University of Kansas
C.J. Wilcox,2015,2016,G,6-5,195,December 30  1990,University of Washington
Damien Wilkins,2005,2013,F-G,6-6,225,January 11  1980,University of Georgia
Deron Williams,2006,2016,G,6-3,200,June 26  1984,University of Illinois at Urbana-Champaign
Derrick Williams,2012,2016,F,6-8,240,May 25  1991,University of Arizona
Elliot Williams,2012,2016,G,6-5,190,June 20  1989,University of Memphis
Lou Williams,2006,2016,G,6-1,175,October 27  1986,
Marcus Williams,2008,2009,F,6-7,205,November 18  1986,University of Arizona
Marvin Williams,2006,2016,F,6-9,237,June 19  1986,University of North Carolina
Mo Williams,2004,2016,G,6-1,198,December 19  1982,University of Alabama
Reggie Williams,2010,2015,F,6-6,205,September 14  1986,Virginia Military Institute
Shawne Williams,2007,2015,F,6-9,225,February 16  1986,University of Memphis
Justise Winslow,2016,2016,F,6-7,225,March 26  1996,Duke University
Jeff Withey,2014,2016,C,7-0,231,March 7  1990,University of Kansas
Nate Wolters,2014,2015,G,6-4,190,May 15  1991,South Dakota State University
Christian Wood,2016,2016,F,6-11,220,September 27  1995,University of Nevada  Las Vegas
Metta World Peace,2000,2016,F,6-6,260,November 13  1979,St. John's University
Brandan Wright,2008,2016,F,6-10,210,October 5  1987,University of North Carolina
Chris Wright,2012,2014,F,6-8,226,September 30  1988,University of Dayton
Delon Wright,2016,2016,G,6-5,190,April 26  1992,University of Utah
Dorell Wright,2005,2015,G-F,6-7,200,December 2  1985,
Tony Wroten,2013,2016,G,6-6,205,April 13  1993,University of Washington
James Young,2015,2016,G-F,6-6,215,August 16  1995,University of Kentucky
Joseph Young,2016,2016,G,6-2,180,June 27  1992,University of Oregon
Nick Young,2008,2016,G-F,6-7,210,June 1  1985,University of Southern California
Sam Young,2010,2013,F,6-6,220,June 1  1985,University of Pittsburgh
Thaddeus Young,2008,2016,F,6-8,221,June 21  1988,Georgia Institute of Technology
Cody Zeller,2014,2016,F-C,7-0,240,October 5  1992,Indiana University
Tyler Zeller,2013,2016,F-C,7-0,253,January 17  1990,University of North Carolina
Player,From,To,Pos,Ht,Wt,DOB,College
Player,From,To,Pos,Ht,Wt,DOB,College
Player,From,To,Pos,Ht,Wt,DOB,College
Player,From,To,Pos,Ht,Wt,DOB,College
